,0
168,Volkswagen 🐢 default shape olsa iyi olurmuş😂 Güle güle kullanın.
169,Sana olan hayranlığım normalde zamanla azalması gerekirken (normalde böyle olur.) daha da artıyor. Seviliyorsun.
170,Dr Who en beğendiğim yapımlar arasında birinci sırada :) güzel anlatmıssın. en eski serisinden iht bastan sevdiğim biriyle izlemek istiyorum yeniden :) gerçi bir ara araştırmıştım çok eskilere gidemedim ama giden  varsa link atabilir ::)
171,Dizi sanırım anlattığınız kadarıyla çok hoşuma gitti gibi. Teşekkürler. İzlemeyi düşünüyorum.
172,çook iyii
173,Barış abi sizde bir öğretmen sayılırsınız öğretmenler gününüz kutlu olsun 😊
174,"Doctor who en sevdiğim dizilerdendir. Bununla ilgili bir içerik epeydir karşıma çıkmıyordu özellikle dizinin son sezonları senaryo olarak hayal kırıklığına uğratmıştı, bu video tekrar izleme isteğimi alevlendirdi."
175,"12 dakika nasıl geçdi bilemedim. İzledikce ekrana kitleye güzel insan, öyretimin için sonsuz teşekkür ederim !"
176,"dont blink göndermesi, tardis... tüm videoyu gülümseyerek izledim"
177,"Reklamları izlediniz, şimdi dağılabilirsiniz..."
178,Videonun kapanışı beni benden aldı. Whovian olarak çok etkilendim. Emeğine sağlık Barış abi
179,Artık eskisi gibi ilgimi çeken icerikler olmuyor. Eskiden heyecanla yeni bir video yayınlamış dediğim kanal şimdi başlığa bakıp geçiyorum. Gereksiz bir muhabbet gibi geliyor. Ya ben yaşlandım ya da kanal
180,Allah yok. Din yok. Cennet yok. Cehennem yok
181,"<a href=""https://www.youtube.com/watch?v=7DFs2WifolI&amp;t=11m27s"">11:27</a> Darth vader vs obi-wan sahnesini hatırlattı."
182,12 dakika reklam izledim harika bir reklamdı :)
183,Tardisin ici o kadar buyuk ki icinde guc kaynagi olarak patlayan ve bunu devamli olarak yapan bir yildiz var. Ve bu yildizi gozlemlemek icin bir camekan var  bu camekan gozlemcileri guvenli bir mesafede tutmasi icin yildizdan &quot;heralde en az venusle gunes arasi kadar&quot; uzaklikta.  Simdi dusunun bir yildiz ve en az venus kadar bir mesafe deki uzay ve bu sadece bir guc kaynagi odasi ?
184,Aşığım ve bu diziye
185,En sevdiğim dizi :&#39;)
186,"Abi karın hiç demiyomu yine gece gece başımıza icat çıkarma, polis kulübesinin evde ne işi var, çocuk musun diye :D"
187,"Birkaç gün önce arkadaşımdan 3D yazıcısıyla bana TARDİS basmasını istemiştim. Bugün son baskısı bitti ve bir baktım bu video önüme düştü. Böyle bir denk gelişe bu video beni çok sevindirdi açıkcası. 60 yıldır sürmeye devam eden bu serüveni bilmeyen epey çok insan var. Umarım daha çok seveni olur ve bu serüven devam eder. Umarım isteyen herkesin gerçek boyutlarda TARDİS&#39;i olur 😅.En büyük hayallerimden biri David, Matt ve Peter üçlüsü ile tanışabilmek. Umarım bir gün gerçekleşir. Doctor Who&#39;nun 60. Yılı Kutlu Olsun 🎉"
188,Dizinin son bölümünü izleyip karşıma bu çıkması şaka mı
189,"Merhaba Sayın Barış Özcan, videolarınızı çok yakında takib ediyorum çoğunuda merak ve bilimsel açıda güzel buluyorum..., bilimkurgu, uzay, genel kültür konular, bizim açımızda hayranlık veriyor... bu nedenle bir kaşif gibi bir araştırmacı gibi ve bir eğetimci gibi...vs, videolarınız insana haz bir verimlik veriyor. Ve size acizane çok fayda gördüğüm bir kitap tavsiye etmek istiyorum sizinde fayda göreceğinize hiç bir şüphem yok. Sizin gibi bir kitap düşkünü, okumak zor gelmez... kitabın ismi “AYET-ÜL KÜBRA” kitab kendine haz bir dil ile yazılmış kitap maddi manevi bir bilgi donanımda dır. Kitap dini bakımından ve genel bir bilgi kültürü içeriyor. Lütfen kitap için yorumunuzu bekliyecem, şimdiden size iyi okumalar umuyorum teşekkürler..."
190,Melegi gorunce tuylerim diken diken oldu be..
191,Keşke benim olsa
192,O heykellerden korkmuştum izlerken😂 bir heykelin beni ürkütebileceği aklımın ucundan geçmezdi.
193,Abi katılmak isteriz ama umrunda değiliz
194,En sevdiğim YouTube kanalı olan bu kanalın bu kadar yoğun bir gündeme sahip Filistin mevzusuna değinen bir video yapmaması sadece benim mi canımı sıkıyor.🇵🇸🇵🇸
195,Dünyanın en iyi dizisi
196,youtube premiuma geçerseniz video yok oluyor Skip Ads
197,tüm sezonları hatim edesim geldi yine
198,Nereden başlamalıyım izlemeye? 68 den başlayamam tabiki hangi sezondan başlamak mantıklı*
199,Fikir güzel ama cam filan da yok ya aşırı klostrofobik geldi
200,"videonun sonunda, yönetmenliğini Steven Spielberg&#39;in yaptığı A.I. (Yapay Zeka) filmine yapılan gönderme gözlerden kaçmadı :)"
201,Aşırı kıskandım benimde Tardis&#39;im olsun istiyorum
202,EN EN EN SEVDİĞİM DİZİ
